mode: set
delightd/pkg/metrics/metrics.go:21.22,25.2 3 1
delightd/pkg/metrics/metrics.go:28.33,29.54 1 1
delightd/pkg/metrics/metrics.go:29.54,34.49 4 1
delightd/pkg/metrics/metrics.go:34.49,36.4 1 1
delightd/pkg/metrics/metrics.go:41.14,45.2 3 1
delightd/pkg/state/state.go:42.46,48.2 1 1
delightd/pkg/state/state.go:51.66,57.11 4 1
delightd/pkg/state/state.go:58.26,59.36 1 1
delightd/pkg/state/state.go:59.36,61.4 1 1
delightd/pkg/state/state.go:62.26,64.105 1 1
delightd/pkg/state/state.go:64.105,66.72 1 1
delightd/pkg/state/state.go:66.72,68.5 1 1
delightd/pkg/state/state.go:69.4,69.35 1 1
delightd/pkg/state/state.go:71.26,72.39 1 1
delightd/pkg/state/state.go:72.39,76.4 3 1
delightd/pkg/state/state.go:77.23,78.39 1 1
delightd/pkg/state/state.go:78.39,84.28 4 1
delightd/pkg/state/state.go:84.28,86.5 1 0
delightd/pkg/state/state.go:87.4,93.33 3 1
delightd/pkg/state/state.go:95.23,97.35 1 1
delightd/pkg/state/state.go:97.35,101.4 3 1
delightd/pkg/state/state.go:102.10,103.44 1 0
delightd/pkg/state/state.go:106.2,106.33 1 1
delightd/pkg/state/state.go:106.33,113.3 2 1
delightd/pkg/state/state.go:115.2,115.12 1 1
delightd/pkg/state/state.go:119.36,123.2 3 1
delightd/pkg/state/state.go:126.59,135.2 3 1
delightd/pkg/state/state.go:138.35,141.34 3 1
delightd/pkg/state/state.go:141.34,143.3 1 0
delightd/pkg/state/state.go:144.2,144.40 1 1
delightd/pkg/discovery/llm.go:27.59,31.74 2 1
delightd/pkg/discovery/llm.go:31.74,33.3 1 1
delightd/pkg/discovery/llm.go:36.2,36.41 1 1
delightd/pkg/discovery/llm.go:36.41,38.60 2 1
delightd/pkg/discovery/llm.go:38.60,40.4 1 1
delightd/pkg/discovery/llm.go:43.2,43.16 1 1
delightd/pkg/discovery/llm.go:46.67,56.16 4 1
delightd/pkg/discovery/llm.go:56.16,58.3 1 1
delightd/pkg/discovery/llm.go:60.2,61.16 2 1
delightd/pkg/discovery/llm.go:61.16,63.3 1 1
delightd/pkg/discovery/llm.go:64.2,66.38 2 1
delightd/pkg/discovery/llm.go:66.38,69.66 3 1
delightd/pkg/discovery/llm.go:69.66,70.34 1 1
delightd/pkg/discovery/llm.go:70.34,72.5 1 1
delightd/pkg/discovery/llm.go:75.2,75.15 1 1
delightd/pkg/discovery/llm.go:78.69,90.16 4 1
delightd/pkg/discovery/llm.go:90.16,92.3 1 0
delightd/pkg/discovery/llm.go:94.2,95.16 2 1
delightd/pkg/discovery/llm.go:95.16,97.3 1 1
delightd/pkg/discovery/llm.go:99.2,99.52 1 1
delightd/pkg/discovery/llm.go:99.52,102.3 2 1
delightd/pkg/discovery/llm.go:102.8,106.18 3 1
delightd/pkg/discovery/llm.go:106.18,108.41 2 1
delightd/pkg/discovery/llm.go:108.41,111.5 2 1
delightd/pkg/discovery/llm.go:115.2,115.15 1 1
delightd/pkg/skills/aggregator.go:19.48,24.2 1 1
delightd/pkg/skills/aggregator.go:27.60,34.32 4 1
delightd/pkg/skills/aggregator.go:34.32,37.17 3 1
delightd/pkg/skills/aggregator.go:37.17,38.26 1 1
delightd/pkg/skills/aggregator.go:38.26,39.13 1 1
delightd/pkg/skills/aggregator.go:41.4,42.12 2 0
delightd/pkg/skills/aggregator.go:45.3,46.54 2 1
delightd/pkg/skills/aggregator.go:46.54,48.12 2 1
delightd/pkg/skills/aggregator.go:51.3,51.36 1 1
delightd/pkg/skills/aggregator.go:51.36,57.4 4 1
delightd/pkg/skills/aggregator.go:61.2,71.12 2 1
delightd/pkg/skills/aggregator.go:75.40,80.28 4 1
delightd/pkg/skills/aggregator.go:80.28,82.3 1 1
delightd/pkg/skills/aggregator.go:83.2,83.15 1 1
delightd/pkg/skills/aggregator.go:87.56,92.2 4 1
delightd/pkg/skills/cli.go:12.63,13.53 1 1
delightd/pkg/skills/cli.go:13.53,15.3 1 0
delightd/pkg/skills/cli.go:17.2,27.26 8 1
delightd/pkg/skills/cli.go:27.26,30.25 2 1
delightd/pkg/skills/cli.go:31.18,33.86 2 1
delightd/pkg/skills/cli.go:34.15,35.104 1 1
delightd/pkg/skills/cli.go:36.19,37.36 1 1
delightd/pkg/skills/cli.go:37.36,39.5 1 1
delightd/pkg/skills/cli.go:40.11,41.59 1 0
delightd/pkg/skills/cli.go:44.3,44.29 1 1
delightd/pkg/skills/cli.go:47.2,50.26 4 1
delightd/pkg/skills/cli.go:50.26,53.22 2 1
delightd/pkg/skills/cli.go:53.22,55.4 1 1
delightd/pkg/skills/cli.go:57.2,61.57 4 1
delightd/pkg/skills/mcp.go:11.72,12.33 1 1
delightd/pkg/skills/mcp.go:12.33,15.3 2 1
delightd/pkg/skills/mcp.go:17.2,24.61 2 1
delightd/pkg/skills/mcp.go:24.61,27.3 2 0
delightd/pkg/skills/mcp.go:29.2,29.63 1 1
delightd/pkg/skills/mcp.go:29.63,35.20 3 1
delightd/pkg/skills/mcp.go:35.20,37.4 1 0
delightd/pkg/skills/mcp.go:37.9,39.4 1 1
delightd/pkg/skills/mcp.go:40.3,40.34 1 1
delightd/pkg/skills/mcp.go:43.2,43.20 1 1
delightd/pkg/skills/mcp.go:44.20,46.60 2 1
delightd/pkg/skills/mcp.go:48.20,53.61 2 1
delightd/pkg/skills/mcp.go:53.61,56.4 2 0
delightd/pkg/skills/mcp.go:58.3,59.14 2 1
delightd/pkg/skills/mcp.go:59.14,62.4 2 0
delightd/pkg/skills/mcp.go:66.3,67.37 2 1
delightd/pkg/skills/mcp.go:67.37,70.18 3 0
delightd/pkg/skills/mcp.go:70.18,72.5 1 0
